feature,importance
cat__Contract_Month-to-month,0.7015422976132263
num__tenure,0.12227938656376582
cat__InternetService_Fiber optic,0.11683250166100097
num__MonthlyCharges,0.04118974113133463
cat__OnlineSecurity_No,0.01815607303067223
num__AvgMonthlyCharge,0.0
num__TotalCharges,0.0
num__NumServices,0.0
cat__Partner_No,0.0
cat__Partner_Yes,0.0
cat__gender_Female,0.0
cat__gender_Male,0.0
cat__Dependents_Yes,0.0
cat__PhoneService_No,0.0
cat__MultipleLines_No,0.0
cat__PhoneService_Yes,0.0
cat__MultipleLines_No phone service,0.0
cat__MultipleLines_Yes,0.0
cat__Dependents_No,0.0
num__SeniorCitizen,0.0
cat__InternetService_No,0.0
cat__InternetService_DSL,0.0
cat__OnlineSecurity_Yes,0.0
cat__OnlineSecurity_No internet service,0.0
cat__OnlineBackup_No internet service,0.0
cat__OnlineBackup_Yes,0.0
cat__DeviceProtection_No,0.0
cat__OnlineBackup_No,0.0
cat__DeviceProtection_Yes,0.0
cat__TechSupport_No,0.0
cat__TechSupport_No internet service,0.0
cat__TechSupport_Yes,0.0
cat__StreamingTV_No,0.0
cat__StreamingTV_No internet service,0.0
cat__StreamingTV_Yes,0.0
cat__DeviceProtection_No internet service,0.0
cat__StreamingMovies_No,0.0
cat__StreamingMovies_No internet service,0.0
cat__StreamingMovies_Yes,0.0
cat__Contract_One year,0.0
cat__Contract_Two year,0.0
cat__PaperlessBilling_No,0.0
cat__PaperlessBilling_Yes,0.0
cat__PaymentMethod_Bank transfer (automatic),0.0
cat__PaymentMethod_Credit card (automatic),0.0
cat__PaymentMethod_Electronic check,0.0
cat__PaymentMethod_Mailed check,0.0
cat__TenureGroup_0-6,0.0
cat__TenureGroup_13-24,0.0
cat__TenureGroup_25-48,0.0
cat__TenureGroup_49+,0.0
cat__TenureGroup_7-12,0.0
